,Mean_IC,IC_Std,IC_IR,Pos_IC,Total_Months,N_Predictions
Overall,-0.0028408383178343544,0.15853038867934094,-0.017919834433639797,22,47,11233
Consumer,0.003252002475956432,0.16483751115109882,0.019728534198599212,25,47,2256
Energy,-0.027408266867354134,0.2697650352971447,-0.10160051630547332,18,47,2162
Financials,0.005738167607468514,0.24000139039335933,0.02390889318625916,25,47,2303
Healthcare,-0.02006023140116941,0.17851297865902982,-0.11237407807465709,20,47,2162
Technology,-0.001551939924906135,0.2018890289238039,-0.007687093910842781,22,47,2350
