regime,mean_ic,median_ic,std_ic,ic_ir,win_rate,n_months,n_predictions
HIGH_VOLATILITY,-0.052479284164479834,-0.06399168453992475,0.12394226807800769,-0.4234171681564681,0.3333333333333333,12,2868
MEAN_REVERTING,0.040475741485133415,0.025135367954713262,0.12661575915078813,0.319673804877088,0.56,25,5975
TRENDING,-0.027585440033754082,-0.039412731619844585,0.10291487363828947,-0.2680413341487204,0.3,10,2390
