date,ic
2022-06-30,-0.28957654197249183
2022-07-31,0.11867303929719626
2022-08-31,0.15273135139644056
2022-09-30,0.00031337009096324805
2022-10-31,-0.024248486777026287
2022-11-30,-0.15615579452015962
2022-12-31,0.05506451633467326
2023-01-31,-0.04904978727892831
2023-02-28,0.02418384202907877
2023-03-31,-0.0854057522590626
2023-04-30,-0.012903027319714495
2023-05-31,0.18262455609859005
2023-06-30,0.1421152561442987
2023-07-31,-0.15204194648570724
2023-08-31,-0.06753894026229738
2023-09-30,-0.025167891424352166
2023-10-31,0.1777214232973524
2023-11-30,0.29160015470623396
2023-12-31,-0.025221511198621704
2024-01-31,-0.08353081818501458
2024-02-29,0.12240251749235259
2024-03-31,-0.038955205513167605
2024-04-30,-0.0906244506170669
2024-05-31,-0.1202524524454133
2024-06-30,-0.027803171477796134
2024-07-31,-0.02564959038008509
2024-08-31,-0.09776379170915227
2024-09-30,0.027934144369044685
2024-10-31,0.1225370064343729
2024-11-30,-0.05317587285960409
2024-12-31,0.07005994866565873
2025-01-31,-0.05771685243134911
2025-02-28,-0.1957605217819345
2025-03-31,-0.1239478218065469
2025-04-30,-0.13685788122780493
2025-05-31,-0.04257761682078689
2025-06-30,-0.12420009844942159
2025-07-31,-0.13257972645124996
2025-08-31,0.047120354417917794
2025-09-30,0.1681604022362083
2025-10-31,-0.11382774867269081
2025-11-30,0.07560563974543791
2025-12-31,0.1426409057346788
2026-01-31,0.025135367954713262
2026-02-28,0.04691114939699728
2026-03-31,0.23515523364157379
2026-04-30,0.23013084766069955
