date,ic,n_stocks,pred_mean,pred_std,actual_mean,actual_std,worst_sector,worst_sector_ic,n_sectors_negative
2022-06-30,-0.28957654197249183,239,0.5104602510460251,0.28921778985088553,0.10059177233268189,0.09619004949666482,Financials,-0.423469387755102,5
2022-10-31,-0.024248486777026287,239,0.5139016736401674,0.1781592456126295,0.06737150059241309,0.08266042473467437,Energy,-0.30238366908206366,2
2022-11-30,-0.15615579452015962,239,0.514189330543933,0.18990212687808236,-0.057698861408368884,0.06730523511932615,Energy,-0.6831329016342893,4
2023-01-31,-0.04904978727892831,239,0.5155766213389121,0.17565373895260888,-0.020100935817491124,0.068879084327748,Financials,-0.2524489795918367,3
2023-03-31,-0.0854057522590626,239,0.5158397620292887,0.19449627037667927,-0.001893100988544198,0.07230001887483029,Consumer,-0.44192357794181497,2
2023-04-30,-0.012903027319714495,239,0.5158278308054393,0.21026254939909447,-0.007686462880880706,0.11324257956730983,Consumer,-0.1479591836734694,3
2023-07-31,-0.15204194648570724,239,0.5151897759218096,0.19807340897704273,-0.03046660200882505,0.08697802615027034,Consumer,-0.3383630047763786,5
2023-08-31,-0.06753894026229738,239,0.5150007457014906,0.1980102691101322,-0.04748560170867527,0.06002672933514739,Healthcare,-0.2927536231884058,3
2023-09-30,-0.025167891424352166,239,0.5154083226415402,0.1934727072558345,-0.043477563815043835,0.08124205734556225,Financials,-0.19857142857142854,4
2023-12-31,-0.025221511198621704,239,0.5157021909578077,0.18491052073199518,-0.0023831076407696966,0.07568347062418365,Consumer,-0.12537993920972643,4
2024-01-31,-0.08353081818501458,239,0.5154243172362261,0.16514785072973387,0.045401132778683254,0.08331198148508531,Financials,-0.2820408163265306,3
2024-03-31,-0.038955205513167605,239,0.5165548240789309,0.2031753119050861,-0.05231848836603032,0.06676453022756286,Consumer,-0.22297003907946156,4
2024-04-30,-0.0906244506170669,239,0.5169384999055743,0.1765918037514435,0.032004412776122516,0.10561135783715032,Financials,-0.3952040816326531,4
2024-05-31,-0.1202524524454133,239,0.5168792917937913,0.19884282875182233,0.013569842407104444,0.07702664945929967,Healthcare,-0.24761023743447427,3
2024-06-30,-0.027803171477796134,239,0.516933369746268,0.20988050406639783,0.022428053694398275,0.09575094713433788,Consumer,-0.26910551454624404,3
2024-07-31,-0.02564959038008509,239,0.5171277727392428,0.19405367806065496,0.015206474683955036,0.08187849768568149,Financials,-0.26969387755102037,2
2024-08-31,-0.09776379170915227,239,0.5173086562440985,0.19750736025924515,0.010984968385259272,0.07065476706681037,Energy,-0.3492445266728338,4
2024-11-30,-0.05317587285960409,239,0.5153121175953659,0.19707157776988396,-0.04537412123634426,0.08025639028359992,Financials,-0.24346938775510202,3
2025-01-31,-0.05771685243134911,239,0.5148112929971678,0.18981400107314414,-0.016732790893700323,0.08373524382382802,Financials,-0.3636734693877551,2
2025-02-28,-0.1957605217819345,239,0.5150625502642743,0.18681026163237138,-0.060082911704334684,0.07804369443040163,Financials,-0.4432653061224489,5
2025-03-31,-0.1239478218065469,239,0.5154392249229321,0.17558637445612518,-0.03331636203994516,0.08342791555977096,Energy,-0.43644773358001854,4
2025-04-30,-0.13685788122780493,239,0.515627562252261,0.15888025079597254,0.05656018673299471,0.09679960554934611,Technology,-0.27577430972388955,5
2025-05-31,-0.04257761682078689,239,0.5155543669001891,0.17921218764544417,0.06062723977115656,0.0870079781002529,Consumer,-0.2600955275727312,3
2025-06-30,-0.12420009844942159,239,0.5155177692241532,0.18289403788331288,0.00995746062796608,0.10500855887934377,Technology,-0.2611764705882353,4
2025-07-31,-0.13257972645124996,239,0.5149136963275577,0.19938035200652146,0.040609927511921926,0.07952088369533153,Technology,-0.3232172869147659,4
2025-10-31,-0.11382774867269081,239,0.5155148396560074,0.2040645979160901,0.021354015425269744,0.0958406276718427,Energy,-0.4679000925069379,4
