feature,mean_ic,std_ic,median_ic,ic_ir,mean_stability,std_stability,missing_rate,coverage_rate,incremental_ic,baseline_ic,full_ic,ic_score,stability_score,coverage_score,composite_score
Vol_12,0.02601901570499965,0.20772545127134875,0.0009214489928273456,0.12525675378608944,0.9539553995187524,0.033293803747792436,0.0,1.0,0.006919704945825573,0.0005448220429662316,0.0074645269887918045,0.9999999986624469,0.9999999999087317,1.0,0.9999999994375983
Mom_12_1,0.01010092456697989,0.18416591859841303,0.03479698511948507,0.054846872015476895,0.8983456157250516,0.05888486654883184,0.0,1.0,0.006442718771383658,0.001021109436165478,0.007463828207549136,0.7870870627353093,0.9492459012356929,1.0,0.8996085954648316
Mom_6_1,0.009397871963125026,0.18218549461647568,0.020165916355610953,0.05158408457769252,0.7792184383783107,0.0853930335461594,0.0,1.0,0.006504667655250679,0.0009441286601062603,0.007448796315356939,0.7776833601996183,0.8405205636920868,1.0,0.8632295131874734
Trend_MA,-0.001469722390994565,0.20734547306867973,0.0033544718145616425,-0.007088278172862411,0.8638177660707225,0.050327638220442734,0.0,1.0,0.0016111995522577402,0.0058374278305015626,0.007448627382759303,0.6323235051555521,0.9177329233247417,1.0,0.8282492790596434
MaxRet_1M,0.013103152120070865,0.1842284381568528,0.01637385971767759,0.07112448138389352,0.37201560004291556,0.10251323823032019,0.0,1.0,0.011935464636858118,-0.004466922983377156,0.0074685416534809625,0.8272434531660192,0.4688734968110754,1.0,0.7715594303097304
High52W,-0.01325489192678073,0.21025917618216655,0.005913925074901967,-0.06304072986235242,0.7792645446940585,0.12831364454613495,0.0,1.0,-0.0050998642907971944,0.01254070040355348,0.007440836112756286,0.4746905939913404,0.8405626441379953,1.0,0.7420450308379347
LogMktCap,0.021934377168862887,0.08325796839146855,0.04033969664877449,0.26345078546392325,0.8652083717373248,0.273345022738432,0.7723805348531346,0.22761946514686537,-0.0036920646477667587,0.011151266220413316,0.007459201572646557,0.9453657855907032,0.9190021053355879,0.22761946514686537,0.7221327853810173
EarnGrowth_YoY,0.017387623471519273,0.0638079923119313,0.02349684355502193,0.2724991469174937,0.7234768195281808,0.2731707955630006,0.7723805348531346,0.22761946514686537,-0.003348869851189573,0.010808882037477768,0.007460012186288195,0.8845505364351801,0.789646141417586,0.22761946514686537,0.6589998965434075
RevGrowth_YoY,0.013778416371534506,0.08345422801119173,-0.018900704631498396,0.16510147777877396,0.7519269160329171,0.2601170546714067,0.7723805348531346,0.22761946514686537,-0.004299953956763783,0.011751139590165069,0.007451185633401285,0.8362754717076375,0.8156120579659332,0.22761946514686537,0.6474796456168946
VolRatio,0.01492191256076778,0.10467696734922766,0.005412891895399972,0.14255201443680224,-0.1417153983584249,0.1801871057870523,0.0,1.0,0.009802140645224909,-0.002343712232441241,0.007458428412783668,0.8515703414731236,0.0,1.0,0.6406281365892494
CashFlowYield,-0.0019014799535389754,0.09298120994850972,-0.008379335937400478,-0.020450152827565477,0.71648334878961,0.29295627775742206,0.7723805348531346,0.22761946514686537,-0.002010182567900214,0.009482443494843928,0.007472260926943714,0.6265485181013247,0.7832633202714151,0.22761946514686537,0.553884242866014
ROE,-0.007842959197269003,0.05653516820937792,-0.004609563990581308,-0.13872708697394537,0.8165372156789226,0.24162467522797829,0.7723805348531346,0.22761946514686537,-0.007072401198060491,0.014528971106003465,0.007456569907942974,0.5470780728975488,0.8745807735375163,0.22761946514686537,0.5494913007643341
Mom_1,-0.01366811480980562,0.14816464796809217,-0.005907502048297231,-0.09224950079015545,0.015268992453078521,0.16580169486979082,0.0,1.0,-0.0052286683984779005,0.012676724982489415,0.007448056584011514,0.46916351813442647,0.1432769688681375,1.0,0.5306484979142119
EV_EBITDA,-0.024692110146385098,0.12809090755825317,-0.023669625649329763,-0.19277020217188817,0.852837654039665,0.25284371628532837,0.7723805348531346,0.22761946514686537,-0.009450789239530116,0.01691147303871494,0.007460683799184825,0.32171171675906385,0.9077115628473711,0.22761946514686537,0.46928399510189645
PB_ratio,-0.030658268076948613,0.11601949555934285,-0.051669511087380826,-0.2642510030675595,0.8525696222107578,0.3091915731096858,0.7723805348531346,0.22761946514686537,-0.011123248706498928,0.01859774948290365,0.007474500776404724,0.2419111809921052,0.9074669347808003,0.22761946514686537,0.4372903923751418
PE_TTM,-0.037014622412057746,0.10228896235179617,-0.028303784867639983,-0.3618633092078461,0.8264152470168281,0.2736095943462733,0.7723805348531346,0.22761946514686537,-0.010910154523004076,0.018369827252841496,0.00745967272983742,0.1568915607658553,0.8835962838131778,0.22761946514686537,0.3961213489943551
GrossMargin,-0.04874436608489737,0.09113642630093807,-0.039308529622801076,-0.5348505319260651,0.878845149707771,0.23861359099871685,0.7297384188221541,0.27026158117784593,-0.007413258026580431,0.014860458126342218,0.007447200099761787,0.0,0.9314481593835944,0.27026158117784593,0.3605129221684321
Beta_12,,,,0.0,,,1.0,0.0,-0.004553579609245642,0.012010398299454703,0.0074568186902090605,,,0.0,
IdioVol,,,,0.0,,,1.0,0.0,-0.004553579609245642,0.012010398299454703,0.0074568186902090605,,,0.0,
