bonus_rate,bonus_cap,max_bonus,avg_monthly_turnover,max_monthly_turnover,annual_turnover,mean_ic,ic_std,ic_ir,turnover_ic_ratio,score
0.0,3,0.0,0.4086956521739129,0.7333333333333333,4.904347826086955,0.0019664868316348924,0.12189439159080588,0.016132709683939376,207.83035289086206,-0.20238133925532156
0.0,5,0.0,0.4086956521739129,0.7333333333333333,4.904347826086955,0.0019664868316348924,0.12189439159080588,0.016132709683939376,207.83035289086206,-0.20238133925532156
0.0,8,0.0,0.4086956521739129,0.7333333333333333,4.904347826086955,0.0019664868316348924,0.12189439159080588,0.016132709683939376,207.83035289086206,-0.20238133925532156
0.01,3,0.03,0.38840579710144923,0.7333333333333333,4.660869565217391,0.0018831296712833005,0.12256074644207589,0.015364867838605217,206.25547089211412,-0.19231976887944133
0.01,5,0.05,0.38840579710144923,0.6666666666666666,4.660869565217391,0.0019823084750606465,0.1227262117951935,0.016152282760660282,195.93610277510737,-0.19222059007566397
0.01,8,0.08,0.38840579710144923,0.6666666666666666,4.660869565217391,0.0019297173322055147,0.1227851808174945,0.01571620711357512,201.27600587881545,-0.1922731812185191
0.02,3,0.06,0.3608695652173913,0.6666666666666666,4.3304347826086955,0.0018271158414415417,0.12323055153135781,0.014826808926328674,197.50776444074592,-0.1786076667672541
0.02,5,0.1,0.3492753623188406,0.6666666666666666,4.191304347826087,0.00145561138144132,0.12368620721533438,0.011768582885779168,239.95096958708476,-0.17318206977797898
0.02,8,0.16,0.3463768115942029,0.6666666666666666,4.156521739130435,0.00120554162318288,0.12400184127533463,0.009721965502964478,287.3204914150507,-0.1719828641739186
0.03,3,0.09,0.32028985507246377,0.6,3.8434782608695652,0.0012220210139774713,0.12409602409828993,0.009847382483499817,262.0984839122975,-0.1589229065222544
0.03,5,0.15,0.29130434782608694,0.5333333333333333,3.4956521739130433,0.0015185473841002677,0.12450155610805201,0.012197015294992423,191.83092399759616,-0.1441336265289432
0.03,8,0.24,0.27971014492753626,0.5333333333333333,3.356521739130435,0.0004672295844969622,0.12552366830370573,0.003722242910926533,598.6567507891933,-0.13938784287927117
0.05,3,0.15000000000000002,0.2637681159420289,0.5333333333333333,3.1652173913043473,-0.00015835168295731021,0.12400067004202214,-0.00127702280079331,inf,-0.13204240965397177
0.05,5,0.25,0.21304347826086953,0.4666666666666667,2.5565217391304342,-0.0019447675026071237,0.12692040089888712,-0.015322733688467068,inf,-0.10846650663304189
0.05,8,0.4,0.11884057971014493,0.4666666666666667,1.4260869565217391,0.0009229456062872909,0.11112311572939684,0.008305613105151011,128.76227905586097,-0.05849734424878517
