date,ic,rolling_3m_mean,rolling_3m_std,rolling_3m_ir,rolling_3m_win_rate,rolling_6m_mean,rolling_6m_std,rolling_6m_ir,rolling_6m_win_rate
2022-06-30,-0.28957654197249183,,,,,,,,
2022-07-31,0.11867303929719626,,,,,,,,
2022-08-31,0.15273135139644056,-0.00605738375961834,0.24612461673116867,-0.02461104395028702,0.6666666666666666,,,,
2022-09-30,0.00031337009096324805,0.09057258692820003,0.08000023014851824,1.1321540795577023,1.0,,,,
2022-10-31,-0.024248486777026287,0.04293207823679251,0.09587873326755611,0.44777477521514214,0.6666666666666666,,,,
2022-11-30,-0.15615579452015962,-0.060030303735407554,0.08414810566589129,-0.7133886527850897,0.3333333333333333,-0.03304384374751295,0.16714429420863564,-0.19769651069432506,0.5
2022-12-31,0.05506451633467326,-0.04177992165417088,0.10669591527346181,-0.39157939221092836,0.3333333333333333,0.02439633263701457,0.11121500808055097,0.2193618744274582,0.6666666666666666
2023-01-31,-0.04904978727892831,-0.050047021821471555,0.10561368655128323,-0.4738687139490206,0.3333333333333333,-0.003557471792339528,0.10359694409716412,-0.034339543732129364,0.5
2023-02-28,0.02418384202907877,0.010066190361607908,0.05347362079277359,0.18824590914868908,0.6666666666666666,-0.024982056686899828,0.07382539040565117,-0.33839383103333387,0.5
2023-03-31,-0.0854057522590626,-0.036757232502970714,0.05581935122562614,-0.6585033988373519,0.3333333333333333,-0.0392685770785708,0.0762069258322988,-0.5152888225013217,0.3333333333333333
2023-04-30,-0.012903027319714495,-0.024708312516566105,0.05574041050256201,-0.4432746779902246,0.3333333333333333,-0.03737766716901884,0.07679266056564439,-0.486734889684769,0.3333333333333333
2023-05-31,0.18262455609859005,0.02810525883993765,0.13864097951142923,0.20271970768657704,0.3333333333333333,0.019085724600772777,0.09449826519942528,0.20196904737346283,0.5
2023-06-30,0.1421152561442987,0.10394559497439142,0.10320102346740398,1.007214768632819,0.6666666666666666,0.03359418123571035,0.10698451375981986,0.3140097576283728,0.5
2023-07-31,-0.15204194648570724,0.05756595525239384,0.18265227947929852,0.3151669139662627,0.6666666666666666,0.016428821367913866,0.12891181468688862,0.1274423248778051,0.5
2023-08-31,-0.06753894026229738,-0.02582187686790197,0.15145081709408706,-0.1704967814855725,0.3333333333333333,0.0011416909860178352,0.1331762338746579,0.00857278324218393,0.3333333333333333
2023-09-30,-0.025167891424352166,-0.08158292605745227,0.06459242691437472,-1.2630416591344455,0.0,0.011181334458469576,0.12749628535232851,0.08769929592513706,0.3333333333333333
2023-10-31,0.1777214232973524,0.028338197203567617,0.1310928587816553,0.2161688856810038,0.3333333333333333,0.04295207622798073,0.1430914242055775,0.30017226026258614,0.5
2023-11-30,0.29160015470623396,0.14805122885974473,0.16045478830755217,0.9226974802145955,0.6666666666666666,0.06111467599592137,0.16894612367357947,0.36174062279168323,0.5
2023-12-31,-0.025221511198621704,0.1480333556016549,0.16048373132286725,0.9224197018689438,0.6666666666666666,0.0332252147721013,0.16669725520981427,0.199314708153306,0.3333333333333333
