date,portfolio_return
2025-01-31,-0.01800406017952726
2025-02-28,-0.07575621073969915
2025-03-31,-0.03892295460694771
2025-04-30,0.07439932064368962
2025-05-31,0.12022652975679742
2025-06-30,0.00926458199665769
2025-07-31,0.07650434468052048
2025-08-31,0.06208974779665388
2025-09-30,0.09378697592379136
2025-10-31,-0.029773548031183324
2025-11-30,-0.00736435118716684
2025-12-31,0.07394071605135058
2026-01-31,-0.009629289019385418
2026-02-28,-0.0635558590292887
2026-03-31,0.19590971281703942
2026-04-30,0.028175608501821443
