date,portfolio_return,n_stocks
2022-06-30,0.06497733776050824,20
2022-07-31,0.029136604390044313,20
2022-08-31,-0.07942853618128305,20
2022-09-30,0.09424461088838568,20
2022-10-31,0.02720353436519604,20
2022-11-30,-0.07826637590976446,20
2022-12-31,0.10290143398620304,20
2023-01-31,0.011990119662580618,20
2023-02-28,0.01960778322706217,20
2023-03-31,-0.027587532587873435,20
2023-04-30,0.050934599036009255,20
2023-05-31,0.11761881000153629,20
2023-06-30,0.0671547421289234,20
2023-07-31,-0.04414170282744614,20
2023-08-31,-0.06971346433501462,20
2023-09-30,-0.10757474864133174,20
2023-10-31,0.16778374410784674,20
2023-11-30,0.10934949417577977,20
2023-12-31,-0.020428958200512454,20
2024-01-31,0.021501340096524664,20
2024-02-29,0.07511582011905485,20
2024-03-31,-0.06343696354136114,20
2024-04-30,0.008275387967644104,20
2024-05-31,0.006651288315954429,20
2024-06-30,0.012043483251215898,20
2024-07-31,-0.005867476832455948,20
2024-08-31,0.02382160408881337,20
2024-09-30,0.008951252283199795,20
2024-10-31,0.19600415562864026,20
2024-11-30,-0.05189890187333336,20
2024-12-31,0.02368350498427719,20
2025-01-31,0.0022971186276953383,20
2025-02-28,-0.04918481606171748,20
2025-03-31,-0.037876653909867455,20
2025-04-30,0.05407599877385296,20
2025-05-31,0.05706954808782365,20
2025-06-30,-0.007677709328533705,20
2025-07-31,0.0502639220703809,20
2025-08-31,0.04247702865247112,20
2025-09-30,0.09427493378509055,20
2025-10-31,-0.02188543294218656,20
2025-11-30,0.033598493961133166,20
2025-12-31,0.0926359058491644,20
2026-01-31,-0.013618522404279392,20
2026-02-28,-0.05473659968793576,20
2026-03-31,0.20367746089101352,20
2026-04-30,0.06900884849801069,20
