date,sector,turnover,n_changed,n_stocks
2024-07-31,Consumer,0.3333333333333333,1,3
2024-07-31,Energy,0.0,0,3
2024-07-31,Financials,0.3333333333333333,1,3
2024-07-31,Healthcare,0.0,0,3
2024-07-31,Technology,0.6666666666666666,2,3
2024-08-31,Consumer,0.3333333333333333,1,3
2024-08-31,Energy,0.3333333333333333,1,3
2024-08-31,Financials,0.6666666666666666,2,3
2024-08-31,Healthcare,0.6666666666666666,2,3
2024-08-31,Technology,0.3333333333333333,1,3
2024-09-30,Consumer,0.6666666666666666,2,3
2024-09-30,Energy,0.3333333333333333,1,3
2024-09-30,Financials,0.0,0,3
2024-09-30,Healthcare,0.0,0,3
2024-09-30,Technology,1.0,3,3
2024-10-31,Consumer,0.3333333333333333,1,3
2024-10-31,Energy,0.0,0,3
2024-10-31,Financials,0.6666666666666666,2,3
2024-10-31,Healthcare,0.6666666666666666,2,3
2024-10-31,Technology,0.6666666666666666,2,3
2024-11-30,Consumer,1.0,3,3
2024-11-30,Energy,0.3333333333333333,1,3
2024-11-30,Financials,0.3333333333333333,1,3
2024-11-30,Healthcare,0.3333333333333333,1,3
2024-11-30,Technology,0.0,0,3
2024-12-31,Consumer,0.3333333333333333,1,3
2024-12-31,Energy,0.3333333333333333,1,3
2024-12-31,Financials,0.6666666666666666,2,3
2024-12-31,Healthcare,1.0,3,3
2024-12-31,Technology,0.6666666666666666,2,3
2025-01-31,Consumer,0.0,0,3
2025-01-31,Energy,0.3333333333333333,1,3
2025-01-31,Financials,0.3333333333333333,1,3
2025-01-31,Healthcare,0.0,0,3
2025-01-31,Technology,0.3333333333333333,1,3
2025-02-28,Consumer,0.3333333333333333,1,3
2025-02-28,Energy,0.3333333333333333,1,3
2025-02-28,Financials,0.0,0,3
2025-02-28,Healthcare,1.0,3,3
2025-02-28,Technology,1.0,3,3
2025-03-31,Consumer,0.3333333333333333,1,3
2025-03-31,Energy,0.3333333333333333,1,3
2025-03-31,Financials,0.3333333333333333,1,3
2025-03-31,Healthcare,0.0,0,3
2025-03-31,Technology,1.0,3,3
2025-04-30,Consumer,0.0,0,3
2025-04-30,Energy,0.6666666666666666,2,3
2025-04-30,Financials,0.6666666666666666,2,3
2025-04-30,Healthcare,0.3333333333333333,1,3
2025-04-30,Technology,1.0,3,3
2025-05-31,Consumer,0.3333333333333333,1,3
2025-05-31,Energy,0.3333333333333333,1,3
2025-05-31,Financials,1.0,3,3
2025-05-31,Healthcare,0.3333333333333333,1,3
2025-05-31,Technology,1.0,3,3
2025-06-30,Consumer,1.0,3,3
2025-06-30,Energy,0.0,0,3
2025-06-30,Financials,0.3333333333333333,1,3
2025-06-30,Healthcare,1.0,3,3
2025-06-30,Technology,0.3333333333333333,1,3
2025-07-31,Consumer,0.6666666666666666,2,3
2025-07-31,Energy,0.3333333333333333,1,3
2025-07-31,Financials,0.3333333333333333,1,3
2025-07-31,Healthcare,0.3333333333333333,1,3
2025-07-31,Technology,0.6666666666666666,2,3
2025-08-31,Consumer,0.6666666666666666,2,3
2025-08-31,Energy,0.0,0,3
2025-08-31,Financials,0.3333333333333333,1,3
2025-08-31,Healthcare,0.6666666666666666,2,3
2025-08-31,Technology,0.3333333333333333,1,3
2025-09-30,Consumer,0.0,0,3
2025-09-30,Energy,0.3333333333333333,1,3
2025-09-30,Financials,0.3333333333333333,1,3
2025-09-30,Healthcare,0.3333333333333333,1,3
2025-09-30,Technology,0.3333333333333333,1,3
2025-10-31,Consumer,0.3333333333333333,1,3
2025-10-31,Energy,0.3333333333333333,1,3
2025-10-31,Financials,0.6666666666666666,2,3
2025-10-31,Healthcare,0.3333333333333333,1,3
2025-10-31,Technology,0.3333333333333333,1,3
2025-11-30,Consumer,0.3333333333333333,1,3
2025-11-30,Energy,0.0,0,3
2025-11-30,Financials,0.0,0,3
2025-11-30,Healthcare,1.0,3,3
2025-11-30,Technology,0.0,0,3
2025-12-31,Consumer,0.3333333333333333,1,3
2025-12-31,Energy,0.0,0,3
2025-12-31,Financials,0.3333333333333333,1,3
2025-12-31,Healthcare,0.0,0,3
2025-12-31,Technology,0.0,0,3
2026-01-31,Consumer,0.3333333333333333,1,3
2026-01-31,Energy,0.0,0,3
2026-01-31,Financials,0.3333333333333333,1,3
2026-01-31,Healthcare,0.3333333333333333,1,3
2026-01-31,Technology,0.0,0,3
2026-02-28,Consumer,0.3333333333333333,1,3
2026-02-28,Energy,0.0,0,3
2026-02-28,Financials,0.3333333333333333,1,3
2026-02-28,Healthcare,0.3333333333333333,1,3
2026-02-28,Technology,0.3333333333333333,1,3
2026-03-31,Consumer,0.3333333333333333,1,3
2026-03-31,Energy,0.0,0,3
2026-03-31,Financials,0.3333333333333333,1,3
2026-03-31,Healthcare,0.3333333333333333,1,3
2026-03-31,Technology,0.3333333333333333,1,3
2026-04-30,Consumer,0.3333333333333333,1,3
2026-04-30,Energy,0.0,0,3
2026-04-30,Financials,0.3333333333333333,1,3
2026-04-30,Healthcare,0.3333333333333333,1,3
2026-04-30,Technology,0.0,0,3
