params,score
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.09190588691323577
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.09188402931694144
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.09461907044037032
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.08569958833191811
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0788712769070663
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.08248843705307594
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.08265519918760729
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.08511223842091213
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.08673355518633681
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.09060341150204958
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08986936035246261
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08476012624927198
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.05632474635290388
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.05760646157589677
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.05654900956628917
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06342526675803432
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05807614032179237
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06210923868095563
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07172697613658728
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0682618407904515
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06825244226526365
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.04621844845156386
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.04499207234512123
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.048268372415836085
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.055670195346210094
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05502362699167554
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06085637529972555
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07062224295174041
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.06788878798937255
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07071263205578672
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.061840860108852515
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06466003557493682
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06281650417159282
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06248777893509417
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06413743645698397
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06489167631337822
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.06983353374585533
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07041260501019006
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07164345254503883
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06474013842941294
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06333549618538627
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07106361308507231
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.0722515394675666
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06872511659245117
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07070240318029536
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08395966432730025
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08621302299497631
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.0890327105020946
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06696149660040991
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0706983550735039
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.074510070280136
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.07273333940805092
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07426207154743612
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07605809193349194
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08781564836175516
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08768905268125222
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08927775323060812
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07254939360528019
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06971240073761346
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07058266343434076
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.0691407482092787
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07095555263040976
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07131571095024375
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08405544404570257
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08522284626865517
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08733020970635323
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.061282698875891606
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06353573400910013
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06835038447564051
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.07449424755397906
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.0741509602067973
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07007576557711978
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.0846269115176862
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08357383304898729
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07982890601643676
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.05645379069223136
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.057342769054132305
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06323395736525356
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06809139045479397
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06486655011356622
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06820516702168959
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.09568640097907638
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.09488598147185072
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.09760123713208092
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.0877655862101621
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.08746892114108147
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.08432799866872759
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.08931836631283187
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.08649121524417523
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.08826527510212746
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.09058851260924672
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08602725461365285
"{'learning_rate': 0.01, 'num_leaves': 63, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07982526736577833
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.08381135599235207
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.07079253616147382
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.08749616843950675
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.09547184532952402
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07847695725076978
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07940131664587283
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07636347860659012
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08078719021876356
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07439526502756484
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07953915447800829
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.08404706172170433
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.08018930497850754
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.076833117740967
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.08860013171583196
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.08069530667494168
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.09305059914623011
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.08359660230603433
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07669065489650655
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.09897083267721114
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.11496328453840975
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.09884743193307705
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.12026965858954412
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.1133808216901037
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.10844554130491381
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.0854768579566371
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0814013501033453
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 3, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.09716682903859548
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06442164864109134
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.057333463699335674
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.057260592500934814
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.07096238118748129
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07719785673945685
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06835436416264253
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07729628310563379
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07826539473204212
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07442107773812204
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07563065575418033
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0701570072786663
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.075965578243804
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.07953380943096332
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.07698894831937064
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.08522664337178404
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07330296906211135
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07518428216369748
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07193959368961579
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07171274180687277
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.085995687424768
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.08172282016538969
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.08656419591088704
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.08124309603075808
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07491516888488427
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07809126087768285
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0793578546935861
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07147511025887647
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.07650257665414574
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.07622623570198739
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07314887578008654
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.08382987447549752
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.0786285285820184
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.05811913549440364
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07461904744705539
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07887809866142532
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06406950896032716
"{'learning_rate': 0.05, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.08961895382326139
