params,score
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.0682775631587418
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06042491553440449
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0601937885919879
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.054360613674870696
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.060515835184864586
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06148329662082099
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.058484598279077434
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07934919730193546
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07862475531113033
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07979225234233508
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.0688711389679142
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.06728376467594378
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06817834600345803
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06797389318365539
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06938811952975284
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07069348419711317
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.08468814455882882
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0852630933838948
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 5, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.08726815102338352
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.05433258569424159
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.055951389173356146
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06073666116876558
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06088229950690374
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.056990391768583025
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.04335971159770821
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.05009383866393083
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.0444173385712326
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.05900850292770826
