num_leaves,max_depth,min_child_samples,learning_rate,best_iteration,stopped_early,complexity_score,val_rmse
15,3,20,0.03,65,True,2.142857142857143,0.1070608235405917
15,3,20,0.05,31,True,2.142857142857143,0.10705289916409046
15,3,50,0.03,31,True,0.8823529411764706,0.10721063926478085
15,3,50,0.05,52,True,0.8823529411764706,0.10707915336983966
15,3,100,0.03,18,True,0.44554455445544555,0.10729069890617858
15,3,100,0.05,22,True,0.44554455445544555,0.10713155138599757
15,5,20,0.03,46,True,3.5714285714285716,0.10712664375172207
15,5,20,0.05,19,True,3.5714285714285716,0.10715682566297452
15,5,50,0.03,37,True,1.4705882352941178,0.10727336016632784
15,5,50,0.05,19,True,1.4705882352941178,0.107225247030192
15,5,100,0.03,31,True,0.7425742574257426,0.10727417223506144
15,5,100,0.05,18,True,0.7425742574257426,0.10723212273161242
15,7,20,0.03,39,True,5.0,0.10713809518917543
15,7,20,0.05,19,True,5.0,0.10709933982258618
15,7,50,0.03,18,True,2.0588235294117645,0.10724995309233741
15,7,50,0.05,19,True,2.0588235294117645,0.10726462052776366
15,7,100,0.03,26,True,1.0396039603960396,0.10725689342541878
15,7,100,0.05,13,True,1.0396039603960396,0.10721996016231387
31,3,20,0.03,65,True,4.428571428571429,0.1070608235405917
31,3,20,0.05,31,True,4.428571428571429,0.10705289916409046
31,3,50,0.03,31,True,1.8235294117647058,0.10721063926478085
31,3,50,0.05,52,True,1.8235294117647058,0.10707915336983966
31,3,100,0.03,18,True,0.9207920792079208,0.10729069890617858
31,3,100,0.05,22,True,0.9207920792079208,0.10713155138599757
31,5,20,0.03,18,True,7.380952380952381,0.10728606879869461
31,5,20,0.05,13,True,7.380952380952381,0.10710914962091053
31,5,50,0.03,13,True,3.0392156862745097,0.1073305560456179
31,5,50,0.05,22,True,3.0392156862745097,0.10715133364581426
31,5,100,0.03,19,True,1.5346534653465347,0.10726027393238825
31,5,100,0.05,14,True,1.5346534653465347,0.1071375242799427
31,7,20,0.03,18,True,10.333333333333334,0.10730612799227993
31,7,20,0.05,13,True,10.333333333333334,0.10720403342793329
31,7,50,0.03,13,True,4.254901960784314,0.10735130998485219
31,7,50,0.05,22,True,4.254901960784314,0.1071571162335405
31,7,100,0.03,26,True,2.1485148514851486,0.10728340110636105
31,7,100,0.05,13,True,2.1485148514851486,0.10726573393746212
63,3,20,0.03,65,True,9.0,0.1070608235405917
63,3,20,0.05,31,True,9.0,0.10705289916409046
63,3,50,0.03,31,True,3.7058823529411766,0.10721063926478085
63,3,50,0.05,52,True,3.7058823529411766,0.10707915336983966
63,3,100,0.03,18,True,1.8712871287128714,0.10729069890617858
63,3,100,0.05,22,True,1.8712871287128714,0.10713155138599757
63,5,20,0.03,18,True,15.0,0.10728606879869461
63,5,20,0.05,13,True,15.0,0.10710914962091053
63,5,50,0.03,13,True,6.176470588235294,0.1073305560456179
63,5,50,0.05,22,True,6.176470588235294,0.10715133364581426
63,5,100,0.03,19,True,3.118811881188119,0.10726027393238825
63,5,100,0.05,14,True,3.118811881188119,0.1071375242799427
63,7,20,0.03,73,True,21.0,0.10694542675764514
63,7,20,0.05,39,True,21.0,0.10700898809708287
63,7,50,0.03,18,True,8.647058823529411,0.10738872886991978
63,7,50,0.05,19,True,8.647058823529411,0.10725773555278825
63,7,100,0.03,22,True,4.366336633663367,0.10720342382965355
63,7,100,0.05,14,True,4.366336633663367,0.10711997591392819
