date,gross_return,net_5_bps,cost_5_bps,net_10_bps,cost_10_bps,net_20_bps,cost_20_bps
2022-06-30,0.07648760101382,0.07648760101382,0.0,0.07648760101382,0.0,0.07648760101382,0.0
2022-07-31,0.045262241907868,0.045128908574534665,0.00013333333333333334,0.04499557524120133,0.0002666666666666667,0.04472890857453467,0.0005333333333333334
2022-08-31,-0.0775337267181376,-0.07786706005147094,0.0003333333333333333,-0.07820039338480426,0.0006666666666666666,-0.07886706005147094,0.0013333333333333333
2022-09-30,0.1365220887059929,0.13628875537265955,0.00023333333333333333,0.13605542203932622,0.00046666666666666666,0.13558875537265955,0.0009333333333333333
2022-10-31,0.0626437075284262,0.06241037419509286,0.00023333333333333333,0.062177040861759535,0.00046666666666666666,0.061710374195092864,0.0009333333333333333
2022-11-30,-0.0660079754932781,-0.06607464215994477,6.666666666666667e-05,-0.06614130882661143,0.00013333333333333334,-0.06627464215994476,0.0002666666666666667
2022-12-31,0.1056044667518982,0.10537113341856487,0.00023333333333333333,0.10513780008523153,0.00046666666666666666,0.10467113341856488,0.0009333333333333333
2023-01-31,-0.0012297073024039,-0.0013963739690705666,0.00016666666666666666,-0.0015630406357372332,0.0003333333333333333,-0.0018963739690705667,0.0006666666666666666
2023-02-28,0.0247227040358338,0.024456037369167134,0.0002666666666666667,0.024189370702500466,0.0005333333333333334,0.023656037369167132,0.0010666666666666667
2023-03-31,-0.0097747320673805,-0.009908065400713833,0.00013333333333333334,-0.010041398734047167,0.0002666666666666667,-0.010308065400713834,0.0005333333333333334
2023-04-30,0.0131728893646832,0.013006222698016533,0.00016666666666666666,0.012839556031349867,0.0003333333333333333,0.012506222698016534,0.0006666666666666666
2023-05-31,0.1090981484068807,0.10903148174021403,6.666666666666667e-05,0.10896481507354737,0.00013333333333333334,0.10883148174021404,0.0002666666666666667
2023-06-30,0.056559464099553,0.056359464099553,0.0002,0.056159464099553004,0.0004,0.055759464099553,0.0008
2023-07-31,-0.0587981098234562,-0.059064776490122865,0.0002666666666666667,-0.05933144315678953,0.0005333333333333334,-0.05986477649012287,0.0010666666666666667
