date,w1_ridge,w2_lgbm,validation_ic
2022-12-31,0.5,0.5,-0.28664414526621723
2023-01-31,0.5,0.5,-0.19438241502368278
2023-02-28,0.5,0.5,-0.3173671629175192
2023-03-31,0.5,0.5,-0.27005546404472497
2023-04-30,0.5,0.5,-0.22688713282210915
2023-05-31,0.5,0.5,-0.17714375585409056
2023-06-30,0.5,0.5,-0.03167417461800063
2023-07-31,0.5,0.5,0.034909814105215375
2023-08-31,0.5,0.5,0.17840696715822033
2023-09-30,0.5,0.5,0.23552530398496094
2023-10-31,0.5,0.5,0.24530348205490018
2023-11-30,0.5,0.5,0.4308827612460358
2023-12-31,0.5,0.5,0.2750918344326504
2024-01-31,0.5,0.5,0.2330331867048797
2024-02-29,0.5,0.5,0.32823063210947023
2024-03-31,0.5,0.5,0.27138511727166054
2024-04-30,0.5,0.5,0.3003933650162437
2024-05-31,0.5,0.5,0.14113078128190484
2024-06-30,0.5,0.5,0.14820693873281024
2024-07-31,0.5,0.5,0.1137397040905004
2024-08-31,0.5,0.5,0.05896642543028338
2024-09-30,0.5,0.5,0.10058646342068744
2024-10-31,0.5,0.5,-0.0394216829756523
2024-11-30,0.5,0.5,-0.17626399695793532
2024-12-31,0.5,0.5,-0.10371362807341328
2025-01-31,0.5,0.5,0.0024003779934412732
2025-02-28,0.5,0.5,0.0009941362610685932
2025-03-31,0.5,0.5,0.07969567837000939
2025-04-30,0.5,0.5,0.15221593751278376
2025-05-31,0.5,0.5,0.0964577907273044
2025-06-30,0.5,0.5,0.08930606984863913
2025-07-31,0.5,0.5,-0.03342979760337585
2025-08-31,0.5,0.5,-0.01045952161063182
2025-09-30,0.5,0.5,0.04171742162182979
2025-10-31,0.5,0.5,-0.1638016262900669
2025-11-30,0.5,0.5,-0.15193995725991524
2025-12-31,0.5,0.5,-0.0958014582753475
2026-01-31,0.5,0.5,-0.01392997556131966
2026-02-28,0.5,0.5,0.03597524681345773
2026-03-31,0.5,0.5,-0.08202126220228671
2026-04-30,0.5,0.5,-0.03883243707950603
