date,w1_ridge,w2_lgbm,validation_ic
2022-12-31,0.5,0.5,-0.2753564877545799
2023-01-31,0.5,0.5,-0.18311983336400503
2023-02-28,0.5,0.5,-0.30716672386425636
2023-03-31,0.5,0.5,-0.26564302565302994
2023-04-30,0.5,0.5,-0.2255898054184796
2023-05-31,0.5,0.5,-0.17684079260084207
2023-06-30,0.5,0.5,-0.035300365820035214
2023-07-31,0.5,0.5,0.02836194227974099
2023-08-31,0.5,0.5,0.17224624296606864
2023-09-30,0.5,0.5,0.2302488006439643
2023-10-31,0.5,0.5,0.24062326270142312
2023-11-30,0.5,0.5,0.42559207796783133
2023-12-31,0.5,0.5,0.2674581196163697
2024-01-31,0.5,0.5,0.23055755470172026
2024-02-29,0.5,0.5,0.33149977932578734
2024-03-31,0.5,0.5,0.2748969390673146
2024-04-30,0.5,0.5,0.304598626495438
2024-05-31,0.5,0.5,0.13963432019748304
2024-06-30,0.5,0.5,0.14698684104787968
2024-07-31,0.5,0.5,0.11211862880138415
2024-08-31,0.5,0.5,0.05875730535879645
2024-09-30,0.5,0.5,0.10096292675479765
2024-10-31,0.5,0.5,-0.04220450433638372
2024-11-30,0.5,0.5,-0.17625322109685304
2024-12-31,0.5,0.5,-0.10666776853373075
2025-01-31,0.5,0.5,0.002915580538986149
2025-02-28,0.5,0.5,-0.0007343395286836544
2025-03-31,0.5,0.5,0.07778936017805972
2025-04-30,0.5,0.5,0.15464450650986838
2025-05-31,0.5,0.5,0.08993596938988065
2025-06-30,0.5,0.5,0.10275232197068362
2025-07-31,0.5,0.5,-0.014321711495590032
2025-08-31,0.5,0.5,0.020645493836588456
2025-09-30,0.5,0.5,0.0532211070807765
2025-10-31,0.5,0.5,-0.16809709694629482
2025-11-30,0.5,0.5,-0.15299247565933696
2025-12-31,0.5,0.5,-0.0967642212364084
2026-01-31,0.5,0.5,-0.017381490377075683
2026-02-28,0.5,0.5,0.03727364040746062
2026-03-31,0.5,0.5,-0.07700243338924159
2026-04-30,0.5,0.5,-0.03488212360643125
