date,ticker,sector,Mom_12_1,Mom_6_1,Mom_1,Vol_12,IdioVol,Beta_12,High52W,Trend_MA,MaxRet_1M,PB_ratio,PE_TTM,EV_EBITDA,ROE,GrossMargin,CurrentRatio,CashFlowYield,RevGrowth_YoY,EarnGrowth_YoY,LogMktCap,VolRatio,AssetTurnover,DividendYield,Next_Month_Return
2020-06-30,AAPL,Technology,0.6936300207745822,0.10195458825222414,0.08509392764654966,0.08116328223740822,,1.1441107164448963,,,0.02380199005089012,,,,,,,,,,,0.29782798556345835,,,0.16513156979570787
2020-06-30,ADBE,Technology,0.3054264400743014,0.1425064324721308,0.09320209843290628,0.06577649686185465,,0.8040181541779904,,,0.03070927539202617,,,,,,,,,,,0.34252898375899393,,,0.020697916005047112
2020-06-30,AMAT,Technology,0.2983879868201449,-0.13926517249138193,0.13534020466038577,0.09956776269844048,,1.228921655578161,,,0.05709821895672018,,,,,,,,,,,0.5153357825120436,,,0.06418523718630653
2020-06-30,AMD,Technology,0.9113462123785749,0.33818639457823885,0.02691353051801526,0.08620075872325551,,0.726962148856768,,,0.05372895444641279,,,,,,,,,,,0.5816127888383525,,,0.47177341583114574
2020-06-30,AVGO,Technology,0.12979842435572664,-0.11756412610310685,0.07234381032042214,0.08675821698544407,,1.227262947999856,,,0.050382049143086416,,,,,,,,,,,0.4005722592720732,,,0.003611988037640401
2020-06-30,CDNS,Technology,0.27623088945874996,0.1548754057426045,0.12523115994166178,0.09033614869357363,,1.0239453820162832,,,0.036679575817435195,,,,,,,,,,,0.5055692516105726,,,0.1384952171980356
2020-06-30,CRM,Technology,0.06961232432284281,-0.005770719775436972,0.07928366252115437,0.0795142711640646,,0.9359208725628857,,,0.03848750451765359,,,,,,,,,,,0.5667508216617583,,,0.04014290503258722
2020-06-30,CRWD,Technology,-0.009225322081884979,0.16655178727774778,0.297812486045854,0.20448174519685117,,1.1466858905311934,,,0.10452827117727992,,,,,,,,,,,0.5641450842728086,,,0.12872665185823196
2020-06-30,FTNT,Technology,0.4864790221259543,0.025021453363047064,0.2919992444251125,0.11980299543169394,,0.8571722995654266,,,0.2122734788184364,,,,,,,,,,,0.9434229093273658,,,0.007503437416782832
2020-06-30,GOOGL,Technology,0.21708089802778496,0.03267438808223999,0.06446864510845907,0.07922003782891603,,0.9686690350023371,,,0.02529105828732825,,,,,,,,,,,0.34492839633689004,,,0.04929299202183057
2020-06-30,INTC,Technology,0.3854745965530191,0.03833565419144591,0.055109768892226185,0.070566505913496,,0.8174826596425232,,,0.04660799565276519,,,,,,,,,,,0.3944517095667189,,,-0.20223972285587877
2020-06-30,INTU,Technology,0.11064585369960112,0.046463368785296444,0.07601623643197719,0.08312177500006171,,1.0142544483708607,,,0.026680355405821032,,,,,,,,,,,0.3482770698642265,,,0.03613917370810671
2020-06-30,KLAC,Technology,0.6165904170778478,0.006348651371169689,0.07752019476811567,0.08548075992425133,,0.9237664595068465,,,0.07728391401273971,,,,,,,,,,,0.5613727883113655,,,0.02750923923783022
2020-06-30,LRCX,Technology,0.49312111924319035,-0.03339918943370335,0.07203841491076357,0.0895556180594134,,0.938047885120623,,,0.0838469714380019,,,,,,,,,,,0.6019615067368809,,,0.16601731634329675
2020-06-30,META,Technology,0.1534906980546893,0.01522508186337701,0.09955554680784084,0.09301223906648139,,1.2956393487150812,,,0.06035591429971565,,,,,,,,,,,0.4436440429372855,,,0.11714449243430014
2020-06-30,MSFT,Technology,0.4627381490877862,0.18707555050683644,0.025391128320600753,0.04956319448769591,,0.6462946196961472,,,0.024460138920404884,,,,,,,,,,,0.30079383922586533,,,0.007370512079704072
2020-06-30,MU,Technology,0.4685676671433623,0.007998236884046772,0.0004176797960833145,0.11057473172989905,,1.2392971718783512,,,0.07969400540826377,,,,,,,,,,,0.6639013076764144,,,-0.02833836525888145
2020-06-30,NET,Technology,0.26871297001200034,0.20944558622087395,0.2338709827581671,0.1306916270668899,,1.1466858905311934,,,0.18316631483284218,,,,,,,,,,,0.975798958319438,,,0.15771899996148164
2020-06-30,NOW,Technology,0.3421142390601801,0.242015201643619,0.1035159585954395,0.10780042729188422,,1.1627645425988327,,,0.04511613022935612,,,,,,,,,,,0.543097534541873,,,0.08428375071397265
2020-06-30,NVDA,Technology,1.1627069692624863,0.3493345061006736,0.21465721761921142,0.0819588367323396,,0.5970182763257125,,,0.057312823628492326,,,,,,,,,,,0.48598239727721715,,,0.11760664883581384
2020-06-30,ORCL,Technology,0.06550039033335331,-0.047764043450417515,0.015102731313860529,0.062086547124877586,,0.6420107941255021,,,0.024394820716523435,,,,,,,,,,,0.28084163816204516,,,0.007498248662061835
2020-06-30,PANW,Technology,-0.018137290219286895,-0.1351553222482479,0.19724184054491833,0.12370738514020416,,1.497558912050443,,,0.0591363182793927,,,,,,,,,,,0.5866275720724625,,,0.11429442714014293
2020-06-30,QCOM,Technology,0.2164219778256362,-0.04355893931916743,0.028092548983693844,0.08647167510965352,,1.1610236771278526,,,0.05503494511905216,,,,,,,,,,,0.5581646572336133,,,0.15787713407571768
2020-06-30,SNPS,Technology,0.3493644093339128,0.11401022827924123,0.15141299188036617,0.08698034428366629,,1.0552924576591682,,,0.03941396432099786,,,,,,,,,,,0.4560448036447864,,,0.021641031901041607
2020-06-30,TXN,Technology,0.1359576617235998,-0.027464963315799062,0.030997984068390272,0.08397891307956766,,1.0613796267614328,,,0.05709573900576803,,,,,,,,,,,0.5569535664671338,,,0.011483231693452334
2020-06-30,ACN,Technology,0.05322153637293359,-0.07166026700945893,0.08871946606805192,0.07645715946966623,,1.0089994723594227,,,0.048237907412004066,,,,,,,,,,,0.444525740399179,,,0.05068716718739541
