alpha,train_ic,val_ic,overfit_gap
0.001,0.15478497460201407,-0.07582493427380955,0.2306099088758236
0.01,0.15478140422450784,-0.07581011085288888,0.23059151507739672
0.1,0.15476857217849252,-0.07576128779242768,0.23052985997092018
1.0,0.15468839269736698,-0.07543105178992457,0.23011944448729155
10.0,0.15386199764911276,-0.07194451708873921,0.22580651473785196
100.0,0.14947177724133798,-0.055984108842726116,0.2054558860840641
1000.0,0.13070221613111244,-0.03241656428684895,0.16311878041796138
